t,x,vx
0.0333,0.0435,
0.0667,0.0748,0.8470764617691154
0.1,0.1,0.7269984917043738
0.133,0.123,0.6716417910447758
0.167,0.145,0.6567164179104479
0.2,0.167,0.6363636363636365
0.233,0.187,0.5373134328358209
0.267,0.203,0.4776119402985076
0.3,0.219,0.45454545454545453
0.333,0.233,0.46268656716417905
0.367,0.25,0.47761194029850745
0.4,0.265,0.4393939393939398
0.433,0.279,0.4328358208955219
0.467,0.294,0.41791044776119357
0.5,0.307,0.39393939393939426
0.533,0.32,0.3582089552238812
0.567,0.331,0.3432835820895528
0.6,0.343,
